Date,Predicted_Pickups,Predicted_Returns
2025-01-10,3,7
2025-01-22,1,14
2024-11-06,3,2
2024-11-07,4,2
2024-11-12,3,5
2024-11-13,2,1
2024-11-27,2,2
2024-12-05,2,1
