Date,LOT,Predicted_Pickups,Predicted_Returns
2024-12-27,0,119,4
2025-01-14,0,92,6
2024-09-12,0,396,3
2024-09-24,0,353,1
2024-09-25,0,350,1
2024-10-08,0,307,1
2024-10-11,0,298,2
2024-10-23,0,263,2
2024-11-07,0,223,4
2024-11-16,0,201,1
2024-11-19,0,194,1
2025-02-03,0,67,9
2025-03-27,0,23,25
2025-03-13,0,32,31
2025-07-24,0,2,1
2025-07-30,0,2,2
