,Date,Predicted_Pickups,Predicted_Returns
0,2024-02-06,3,1
1,2024-02-08,4,2
2,2024-02-13,4,3
3,2024-02-16,4,2
4,2024-02-20,4,2
5,2024-02-27,2,1
6,2024-03-07,2,1
7,2024-04-05,2,3
8,2024-04-09,2,1
9,2024-04-10,2,1
10,2024-04-11,2,1
11,2024-04-26,2,1
12,2024-09-09,0,2
