Date,Predicted_Pickups,Predicted_Returns
2024-01-10,4,3
2024-01-19,4,4
2024-01-24,4,2
2024-01-25,4,5
2024-02-13,4,3
2024-02-27,4,1
2024-03-01,4,1
2024-03-02,5,1
2024-03-08,4,1
2024-03-13,3,3
2024-03-28,3,1
2024-04-15,3,2
2024-04-26,3,2
2024-05-22,2,2
2024-10-23,2,1
2024-10-24,2,3
2024-12-28,2,1
