Date,Predicted_Pickups,Predicted_Returns
2022-09-22,11,6
2022-10-05,12,14
2022-10-06,7,14
2022-10-07,7,19
2023-02-14,18,3
2023-02-15,9,3
2023-03-22,7,1
2023-04-10,8,5
2023-04-13,10,2
2023-05-15,10,1
2023-05-16,13,1
2023-06-21,12,2
2023-06-23,14,1
