Date,Predicted_Pickups,Predicted_Returns
2024-02-06,3,1
2024-02-08,4,2
2024-02-13,4,3
2024-02-16,4,2
2024-02-20,4,2
2024-02-27,2,1
2024-03-07,2,1
2024-04-05,2,3
2024-04-09,2,1
2024-04-10,2,1
2024-04-11,2,1
2024-04-26,2,1
2024-09-09,0,2
