Date,Predicted_Pickups,Predicted_Returns
2024-03-28,3,1
2024-04-08,3,3
2024-05-30,3,1
2024-05-31,3,2
2024-06-03,3,2
2024-06-13,3,3
2024-07-08,3,3
2024-07-25,3,1
2024-09-06,3,4
2024-09-10,4,2
2024-10-11,2,2
2024-10-16,2,3
2024-11-05,2,1
2025-01-17,2,2
2025-01-31,10,2
2025-03-05,12,58
2025-03-20,24,24
