Date,Predicted_Pickups,Predicted_Returns
2024-12-16,2,3
2025-01-24,4,3
2025-01-30,1,3
2024-10-02,3,2
2024-10-23,3,1
2024-10-29,4,2
2024-11-01,7,1
2024-11-02,8,2
2024-11-07,5,1
2024-11-12,5,2
2024-11-26,2,1
2024-11-27,2,1
